Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2007-01-02,3.8227,3.8306,3.8184,3.823
2007-01-03,3.8267,3.831,3.8195,3.8264
2007-01-04,3.8365,3.8863,3.834,3.8855
2007-01-05,3.8907,3.9069,3.8608,3.8848
2007-01-08,3.8784,3.8852,3.8566,3.8642
2007-01-09,3.8527,3.8754,3.8519,3.8731
2007-01-10,3.8897,3.9097,3.8774,3.8811
2007-01-11,3.8747,3.8793,3.8611,3.8631
2007-01-12,3.8731,3.8777,3.8606,3.875
2007-01-15,3.8646,3.8734,3.862,3.8686
2007-01-16,3.8671,3.88,3.8659,3.8754
2007-01-17,3.8885,3.8975,3.8793,3.8873
2007-01-18,3.8824,3.8836,3.8541,3.8586
2007-01-19,3.846,3.8541,3.8391,3.848
2007-01-22,3.8489,3.8506,3.8354,3.8449
2007-01-23,3.8543,3.8825,3.8475,3.8795
2007-01-24,3.883,3.8912,3.8706,3.8738
2007-01-25,3.8786,3.9185,3.8695,3.9143
2007-01-26,3.9401,3.9421,3.9095,3.9182
2007-01-29,3.9131,3.9352,3.9099,3.9331
2007-01-30,3.9246,3.94,3.924,3.9276
2007-01-31,3.9248,3.9317,3.9053,3.912
2007-02-01,3.9003,3.9022,3.8854,3.9022
2007-02-02,3.8942,3.9072,3.8907,3.9049
2007-02-05,3.8959,3.9021,3.8659,3.8675
2007-02-06,3.8558,3.8742,3.855,3.8688
2007-02-07,3.8698,3.8714,3.8552,3.868
2007-02-08,3.8678,3.8879,3.867,3.8871
2007-02-09,3.8814,3.8943,3.8755,3.8924
2007-02-12,3.8961,3.9236,3.8895,3.9202
2007-02-13,3.9176,3.9196,3.9029,3.9153
2007-02-14,3.9031,3.9128,3.8927,3.9025
2007-02-15,3.8924,3.9123,3.8871,3.9097
2007-02-16,3.9082,3.9084,3.8971,3.8991
2007-02-19,3.8939,3.9004,3.8857,3.8921
2007-02-20,3.8887,3.892,3.8808,3.8893
2007-02-21,3.8901,3.8939,3.8807,3.8816
2007-02-22,3.8794,3.8813,3.8718,3.8805
2007-02-23,3.8823,3.8835,3.8723,3.88
2007-02-26,3.8806,3.8993,3.8764,3.8934
2007-02-27,3.907,3.9181,3.8992,3.904
2007-02-28,3.9235,3.9269,3.9123,3.9231
2007-03-01,3.9093,3.9236,3.8972,3.8986
2007-03-02,3.8963,3.9073,3.8904,3.8987
2007-03-05,3.9231,3.9256,3.9016,3.9077
2007-03-06,3.9014,3.9055,3.894,3.8992
2007-03-07,3.8967,3.9036,3.8892,3.8951
2007-03-08,3.8916,3.8952,3.8613,3.8757
2007-03-09,3.8764,3.8869,3.8621,3.8755
2007-03-12,3.8644,3.8821,3.8622,3.8762
2007-03-13,3.8745,3.8944,3.8735,3.8916
2007-03-14,3.9088,3.9115,3.8939,3.8945
2007-03-15,3.8872,3.8999,3.8838,3.8906
2007-03-16,3.8976,3.9071,3.8823,3.8949
2007-03-19,3.8639,3.8779,3.8619,3.8639
2007-03-20,3.8673,3.8771,3.8624,3.8712
2007-03-21,3.8734,3.8759,3.8665,3.8682
2007-03-22,3.8671,3.872,3.8632,3.8668
2007-03-23,3.8673,3.8767,3.8658,3.8673
2007-03-26,3.869,3.8747,3.865,3.8707
2007-03-27,3.8705,3.8747,3.8658,3.8678
2007-03-28,3.8757,3.8889,3.8731,3.8833
2007-03-29,3.8804,3.8834,3.863,3.8687
2007-03-30,3.8645,3.8704,3.854,3.8601
2007-04-02,3.8603,3.8637,3.8486,3.8523
2007-04-03,3.8536,3.8545,3.8428,3.8448
2007-04-04,3.8436,3.8529,3.8431,3.8449
2007-04-05,3.8459,3.8487,3.832,3.833
2007-04-10,3.8382,3.8447,3.8323,3.8325
2007-04-11,3.8365,3.8365,3.8216,3.8279
2007-04-12,3.8291,3.8362,3.8287,3.8343
2007-04-13,3.8361,3.8436,3.8211,3.8236
2007-04-16,3.8288,3.8296,3.8144,3.816
2007-04-17,3.8165,3.8232,3.8023,3.804
2007-04-18,3.8051,3.8104,3.8007,3.8085
2007-04-19,3.816,3.8187,3.807,3.814
